group,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,rank_current,status,updated_at
A,MEX,2,2,0,0,3,0,3,6,1,active,2026-06-23T06:29:16.209526+00:00
A,KOR,2,1,0,1,2,2,0,3,2,active,2026-06-23T06:29:16.209526+00:00
A,CZE,2,0,1,1,2,3,-1,1,3,active,2026-06-23T06:29:16.209526+00:00
A,RSA,2,0,1,1,1,3,-2,1,4,active,2026-06-23T06:29:16.209526+00:00
B,CAN,2,1,1,0,7,1,6,4,1,active,2026-06-23T06:29:16.209526+00:00
B,SUI,2,1,1,0,5,2,3,4,2,active,2026-06-23T06:29:16.209526+00:00
B,BIH,2,0,1,1,2,5,-3,1,3,active,2026-06-23T06:29:16.209526+00:00
B,QAT,2,0,1,1,1,7,-6,1,4,active,2026-06-23T06:29:16.209526+00:00
C,BRA,2,1,1,0,4,1,3,4,1,active,2026-06-23T06:29:16.209526+00:00
C,MAR,2,1,1,0,2,1,1,4,2,active,2026-06-23T06:29:16.209526+00:00
C,SCO,2,1,0,1,1,1,0,3,3,active,2026-06-23T06:29:16.209526+00:00
C,HTI,2,0,0,2,0,4,-4,0,4,active,2026-06-23T06:29:16.209526+00:00
D,USA,2,2,0,0,6,1,5,6,1,active,2026-06-23T06:29:16.209526+00:00
D,AUS,2,1,0,1,2,2,0,3,2,active,2026-06-23T06:29:16.209526+00:00
D,PAR,2,1,0,1,2,4,-2,3,3,active,2026-06-23T06:29:16.209526+00:00
D,TUR,2,0,0,2,0,3,-3,0,4,active,2026-06-23T06:29:16.209526+00:00
E,GER,2,2,0,0,9,2,7,6,1,active,2026-06-23T06:29:16.209526+00:00
E,CIV,2,1,0,1,2,2,0,3,2,active,2026-06-23T06:29:16.209526+00:00
E,ECU,2,0,1,1,0,1,-1,1,3,active,2026-06-23T06:29:16.209526+00:00
E,CUW,2,0,1,1,1,7,-6,1,4,active,2026-06-23T06:29:16.209526+00:00
F,NED,2,1,1,0,7,3,4,4,1,active,2026-06-23T06:29:16.209526+00:00
F,JPN,2,1,1,0,6,2,4,4,2,active,2026-06-23T06:29:16.209526+00:00
F,SWE,2,1,0,1,6,6,0,3,3,active,2026-06-23T06:29:16.209526+00:00
F,TUN,2,0,0,2,1,9,-8,0,4,active,2026-06-23T06:29:16.209526+00:00
G,EGY,2,1,1,0,4,2,2,4,1,active,2026-06-23T06:29:16.209526+00:00
G,IRI,2,0,2,0,2,2,0,2,2,active,2026-06-23T06:29:16.209526+00:00
G,BEL,2,0,2,0,1,1,0,2,3,active,2026-06-23T06:29:16.209526+00:00
G,NZL,2,0,1,1,3,5,-2,1,4,active,2026-06-23T06:29:16.209526+00:00
H,ESP,2,1,1,0,4,0,4,4,1,active,2026-06-23T06:29:16.209526+00:00
H,URU,2,0,2,0,3,3,0,2,2,active,2026-06-23T06:29:16.209526+00:00
H,CPV,2,0,2,0,2,2,0,2,3,active,2026-06-23T06:29:16.209526+00:00
H,KSA,2,0,1,1,1,5,-4,1,4,active,2026-06-23T06:29:16.209526+00:00
I,FRA,2,2,0,0,6,1,5,6,1,active,2026-06-23T06:29:16.209526+00:00
I,NOR,2,2,0,0,7,3,4,6,2,active,2026-06-23T06:29:16.209526+00:00
I,SEN,2,0,0,2,3,6,-3,0,3,active,2026-06-23T06:29:16.209526+00:00
I,IRQ,2,0,0,2,1,7,-6,0,4,active,2026-06-23T06:29:16.209526+00:00
J,ARG,2,2,0,0,5,0,5,6,1,active,2026-06-23T06:29:16.209526+00:00
J,AUT,2,1,0,1,3,3,0,3,2,active,2026-06-23T06:29:16.209526+00:00
J,DZA,2,1,0,1,2,4,-2,3,3,active,2026-06-23T06:29:16.209526+00:00
J,JOR,2,0,0,2,2,5,-3,0,4,active,2026-06-23T06:29:16.209526+00:00
K,COL,1,1,0,0,3,1,2,3,1,active,2026-06-23T06:29:16.209526+00:00
K,COD,1,0,1,0,1,1,0,1,2,active,2026-06-23T06:29:16.209526+00:00
K,POR,1,0,1,0,1,1,0,1,3,active,2026-06-23T06:29:16.209526+00:00
K,UZB,1,0,0,1,1,3,-2,0,4,active,2026-06-23T06:29:16.209526+00:00
L,ENG,1,1,0,0,4,2,2,3,1,active,2026-06-23T06:29:16.209526+00:00
L,GHA,1,1,0,0,1,0,1,3,2,active,2026-06-23T06:29:16.209526+00:00
L,PAN,1,0,0,1,0,1,-1,0,3,active,2026-06-23T06:29:16.209526+00:00
L,CRO,1,0,0,1,2,4,-2,0,4,active,2026-06-23T06:29:16.209526+00:00
