match_id,match_no,date,group,team_id,team_name,opponent_id,opponent_name,is_team_a,goals_for,goals_against,result,points,possession,shots,shots_on_target,shot_accuracy,xg_for,xg_against,xg_diff,big_chances,corners,yellow_cards,red_cards,formation,source_url,data_status
2026-06-11_match-1,1,2026-06-11,A,MEX,México,RSA,Sudáfrica,True,2,0,G,3,61.0,16,5,0.3125,1.34,0.12,1.2200000000000002,11,3,1,1,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-south-africa-jun-11-2026-game-boxscore-647616,verified
2026-06-11_match-1,1,2026-06-11,A,RSA,Sudáfrica,MEX,México,False,0,2,P,0,39.0,3,2,0.6666666666666666,0.12,1.34,-1.2200000000000002,2,1,2,2,5-3-2,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-south-africa-jun-11-2026-game-boxscore-647616,verified
2026-06-11_match-2,2,2026-06-11,A,KOR,Corea del Sur,CZE,República Checa,True,2,1,G,3,62.0,15,7,0.4666666666666667,2.27,0.65,1.62,14,4,1,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-south-korea-vs-czechia-jun-11-2026-game-boxscore-647617,verified
2026-06-11_match-2,2,2026-06-11,A,CZE,República Checa,KOR,Corea del Sur,False,1,2,P,0,38.0,8,4,0.5,0.65,2.27,-1.62,2,5,0,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-south-korea-vs-czechia-jun-11-2026-game-boxscore-647617,verified
2026-06-12_match-3,3,2026-06-12,B,CAN,Canadá,BIH,Bosnia y Herzegovina,True,1,1,E,1,60.0,13,3,0.23076923076923078,1.94,1.23,0.71,11,9,2,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-bosnia-and-herzegovina-jun-12-2026-game-boxscore-647618,verified
2026-06-12_match-3,3,2026-06-12,B,BIH,Bosnia y Herzegovina,CAN,Canadá,False,1,1,E,1,40.0,8,4,0.5,1.23,1.94,-0.71,5,4,3,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-bosnia-and-herzegovina-jun-12-2026-game-boxscore-647618,verified
2026-06-12_match-4,4,2026-06-12,D,USA,Estados Unidos,PAR,Paraguay,True,4,1,G,3,63.0,17,6,0.35294117647058826,1.45,0.6,0.85,11,3,1,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-united-states-vs-paraguay-jun-12-2026-game-boxscore-647619,verified
2026-06-12_match-4,4,2026-06-12,D,PAR,Paraguay,USA,Estados Unidos,False,1,4,P,0,37.0,8,2,0.25,0.6,1.45,-0.85,5,1,5,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-united-states-vs-paraguay-jun-12-2026-game-boxscore-647619,verified
2026-06-13_match-5,5,2026-06-13,B,QAT,Catar,SUI,Suiza,True,1,1,E,1,30.0,5,3,0.6,0.56,3.47,-2.91,4,3,2,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-qatar-vs-switzerland-jun-13-2026-game-boxscore-647621,verified
2026-06-13_match-5,5,2026-06-13,B,SUI,Suiza,QAT,Catar,False,1,1,E,1,70.0,27,10,0.37037037037037035,3.47,0.56,2.91,21,10,1,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-qatar-vs-switzerland-jun-13-2026-game-boxscore-647621,verified
2026-06-13_match-6,6,2026-06-13,C,BRA,Brasil,MAR,Marruecos,True,1,1,E,1,54.0,8,5,0.625,0.56,1.35,-0.79,5,6,2,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-brazil-vs-morocco-jun-13-2026-game-boxscore-647622,verified
2026-06-13_match-6,6,2026-06-13,C,MAR,Marruecos,BRA,Brasil,False,1,1,E,1,46.0,13,4,0.3076923076923077,1.35,0.56,0.79,8,2,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-brazil-vs-morocco-jun-13-2026-game-boxscore-647622,verified
2026-06-13_match-7,7,2026-06-13,C,HTI,Haití,SCO,Escocia,True,0,1,P,0,50.0,13,3,0.23076923076923078,0.71,1.16,-0.44999999999999996,7,4,1,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-haiti-vs-scotland-jun-13-2026-game-boxscore-647623,verified
2026-06-13_match-7,7,2026-06-13,C,SCO,Escocia,HTI,Haití,False,1,0,G,3,50.0,8,3,0.375,1.16,0.71,0.44999999999999996,7,3,3,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-haiti-vs-scotland-jun-13-2026-game-boxscore-647623,verified
2026-06-14_match-8,8,2026-06-14,D,AUS,Australia,TUR,Turquía,True,2,0,G,3,37.0,8,4,0.5,0.84,1.6,-0.7600000000000001,7,5,0,0,5-4-1,https://www.foxsports.com/soccer/fifa-world-cup-men-australia-vs-turkiye-jun-14-2026-game-boxscore-647620,verified
2026-06-14_match-8,8,2026-06-14,D,TUR,Turquía,AUS,Australia,False,0,2,P,0,63.0,28,7,0.25,1.6,0.84,0.7600000000000001,21,8,1,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-australia-vs-turkiye-jun-14-2026-game-boxscore-647620,verified
2026-06-14_match-9,9,2026-06-14,E,GER,Alemania,CUW,Curazao,True,7,1,G,3,65.0,26,11,0.4230769230769231,3.6,0.35,3.25,23,8,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-germany-vs-curacao-jun-14-2026-game-boxscore-647624,verified
2026-06-14_match-9,9,2026-06-14,E,CUW,Curazao,GER,Alemania,False,1,7,P,0,35.0,7,2,0.2857142857142857,0.35,3.6,-3.25,5,1,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-germany-vs-curacao-jun-14-2026-game-boxscore-647624,verified
2026-06-14_match-10,10,2026-06-14,F,NED,Países Bajos,JPN,Japón,True,2,2,E,1,60.0,11,7,0.6363636363636364,1.12,0.67,0.45000000000000007,10,5,3,0,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-netherlands-vs-japan-jun-14-2026-game-boxscore-647625,verified
2026-06-14_match-10,10,2026-06-14,F,JPN,Japón,NED,Países Bajos,False,2,2,E,1,40.0,8,3,0.375,0.67,1.12,-0.45000000000000007,8,4,0,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-netherlands-vs-japan-jun-14-2026-game-boxscore-647625,verified
2026-06-14_match-11,11,2026-06-14,E,CIV,Costa de Marfil,ECU,Ecuador,True,1,0,G,3,49.0,16,4,0.25,1.51,0.52,0.99,14,3,3,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-ivory-coast-vs-ecuador-jun-14-2026-game-boxscore-647626,verified
2026-06-14_match-11,11,2026-06-14,E,ECU,Ecuador,CIV,Costa de Marfil,False,0,1,P,0,51.0,10,1,0.1,0.52,1.51,-0.99,6,5,1,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-ivory-coast-vs-ecuador-jun-14-2026-game-boxscore-647626,verified
2026-06-14_match-12,12,2026-06-14,F,SWE,Suecia,TUN,Túnez,True,5,1,G,3,49.0,13,8,0.6153846153846154,1.51,0.3,1.21,11,4,0,0,3-4-1-2,https://www.foxsports.com/soccer/fifa-world-cup-men-sweden-vs-tunisia-jun-14-2026-game-boxscore-647627,verified
2026-06-14_match-12,12,2026-06-14,F,TUN,Túnez,SWE,Suecia,False,1,5,P,0,51.0,5,2,0.4,0.3,1.51,-1.21,3,2,1,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-sweden-vs-tunisia-jun-14-2026-game-boxscore-647627,verified
2026-06-15_match-13,13,2026-06-15,H,ESP,España,CPV,Cabo Verde,True,0,0,E,1,74.0,23,8,0.34782608695652173,1.55,0.38,1.17,16,11,1,0,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-cape-verde-jun-15-2026-game-boxscore-647628,verified
2026-06-15_match-13,13,2026-06-15,H,CPV,Cabo Verde,ESP,España,False,0,0,E,1,26.0,6,1,0.16666666666666666,0.38,1.55,-1.17,6,1,1,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-cape-verde-jun-15-2026-game-boxscore-647628,verified
2026-06-15_match-14,14,2026-06-15,G,BEL,Bélgica,EGY,Egipto,True,1,1,E,1,53.0,15,3,0.2,0.83,0.98,-0.15000000000000002,10,2,2,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-egypt-jun-15-2026-game-boxscore-647629,verified
2026-06-15_match-14,14,2026-06-15,G,EGY,Egipto,BEL,Bélgica,False,1,1,E,1,47.0,14,4,0.2857142857142857,0.98,0.83,0.15000000000000002,9,7,2,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-egypt-jun-15-2026-game-boxscore-647629,verified
2026-06-15_match-15,15,2026-06-15,H,KSA,Arabia Saudí,URU,Uruguay,True,1,1,E,1,35.0,7,3,0.42857142857142855,1.0,1.88,-0.8799999999999999,3,4,1,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-saudi-arabia-vs-uruguay-jun-15-2026-game-boxscore-647630,verified
2026-06-15_match-15,15,2026-06-15,H,URU,Uruguay,KSA,Arabia Saudí,False,1,1,E,1,65.0,27,10,0.37037037037037035,1.88,1.0,0.8799999999999999,16,14,0,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-saudi-arabia-vs-uruguay-jun-15-2026-game-boxscore-647630,verified
2026-06-15_match-16,16,2026-06-15,G,IRI,Irán,NZL,Nueva Zelanda,True,2,2,E,1,47.0,17,4,0.23529411764705882,1.46,0.85,0.61,12,4,1,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-iran-vs-new-zealand-jun-15-2026-game-boxscore-647631,verified
2026-06-15_match-16,16,2026-06-15,G,NZL,Nueva Zelanda,IRI,Irán,False,2,2,E,1,53.0,13,8,0.6153846153846154,0.85,1.46,-0.61,9,1,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-iran-vs-new-zealand-jun-15-2026-game-boxscore-647631,verified
2026-06-16_match-17,17,2026-06-16,I,FRA,Francia,SEN,Senegal,True,3,1,G,3,54.0,11,8,0.7272727272727273,1.9,0.35,1.5499999999999998,9,6,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-france-vs-senegal-jun-16-2026-game-boxscore-647633,verified
